ID;title;url;author;institutionName;institutionUrl;helix;role;expertise;description;appendixUrl
11;Robotics Core Technology: socially cooperative human-robot interaction;https://crowdhelix.com/opportunities/robotics-core-technology-socially-cooperative-human-robot-interaction-630;Ephrat Messing;ABC Robotics Initiative, Ben-Gurion University of the Negev;"https://crowdhelix.com/organisation/ben-gurion-university-of-the-negev-460; https://crowdhelix.com/group/abc-robotics-initiative-14";Health, Digital;Individual Expert;Robotics, Rehabilitation, Assistive technology, Human-computer interaction, Gamification, Human-robot interaction;We study socially cooperative human-robot interaction in the context of healthcare. We test the different aspects of personalization of human-robot interaction when collaborating on a gamified task. For example, we have designed a 3D tic-tac-toe game for rehabilitation, and tested young and old adults' performance and preferences when playing the game against a robotic arm. We also study how different components of physical embodiment (including presence and touch interaction) affect human motivation to continue interaction with the robot.;https://ec.europa.eu/info/research-and-innovation_en
12;Seeking academic or industrial collaborators for a cancer-related single-cell analysis project;https://crowdhelix.com/opportunities/seeking-academic-or-industrial-collaborators-for-a-cancer-related-single-cell-analysis-project-2230;Eléonore Fox;Epigene Labs;https://crowdhelix.com/organisation/epigene-labs-10733;Health, Mission Cancer;Coordinator, Work Package Leader, Consortium Partner, Individual Expert;Oncology, Data science, Bioinformatics, Biology, Software engineering, Single cell, Biomarker, Clinical expertise, Patient data, Target identification;Epigene Labs is creating intelligence-augmenting data science solutions for precision oncology research and drug development. Designed by cancer scientists for cancer scientists, the company’s mCUBE platform catalyzes data-driven patient stratification, biomarker identification and drug discovery to bring better treatments to patients faster.We are seeking academic or industrial collaborators for a collaborative project around single-cell transcriptomic data analysis. We are looking for partners with biological and/or clinical expertise with a specific scientific interest such as a target identification or biomarker validation that require competencies in bioinformatics, data science and analysis, or software engineering.We are open to discuss any project aligned with our scientific and technological development roadmap.;
13;Seeking international collaborators for upcoming EIC Pathfinder call;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-upcoming-eic-pathfinder-call-2224;João Rodrigues;Associação Fraunhofer Portugal Research;https://crowdhelix.com/organisation/associacao-fraunhofer-portugal-research-10575;Health, Digital, Pathfinder;Coordinator, Work Package Leader, Consortium Partner;Wearable sensors, Multimodal sensor data collection, Clinical data integration, End-user stakeholders;The transition from episodic to continuous healthcare is still far away, yet a solution may arise from recent advances in wearable technologies and efforts to improve and increase trust in Artificial Intelligence (AI).Wearable sensors constitute a promising solution for continuous patient monitoring. However, their full potential has not yet been reached, as evaluating the immense data generated by a single person is unfeasible to health practitioners. Moreover, currently available wearable data processing algorithms fail to incorporate data on the medical history of each individual.AI models promise to overcome the data burden problem with knowledge extraction capabilities. Nevertheless, current approaches present limitations that hamper their wide acceptance by the medical community. While better-than-human performances have been reported in some specific tasks, models have problems when generalising to unseen scenarios or when input data changes even slightly, often leading to poor results in the real world, such as high false positive rates. Also, even though practitioners resort to multiple sources of health data for evaluation, multimodal approaches often disappoint when compared to single-source algorithms. Furthermore, life-long monitoring generates highly variable data from subjective medical decisions and equipment diversity, which is not fully considered by current algorithms. On top of these problems, ethical and trustworthiness issues arise from some solutions in the literature, which lack the required reliability for real scenarios.A paradigm-changing solution for continuous healthcare needs to attend to such concerns, widening the evaluation of sensory and clinical data to the expectably changing patient conditions and available information with reliability and ethical sense.In this EIC Pathfinder Challenge, we propose to research new methods to increase the robustness of AI models for the continuous and pervasive monitoring of health conditions. Resorting to a holistic perspective, where past and current multimodal data are leveraged, models will be able to provide more reliable predictions. The effective combination of continuous sensor data from wearable devices and medical records is the key to the healthcare continuum.Improving performance is not enough to push standards forward, which is why we intend to dedicate efforts to increasing the trustworthiness of medical AI. Involving the medical community from the technology conception stage we intend to create accessible tools for decision monitoring and visualization by practitioners, including techniques related to explainability and uncertainty estimation.Fraunhofer Portugal AICOS seeks partners to develop a robust and reliable solution for more complete and continuous monitoring of health conditions. Our experience includes projects related to the follow-up of cardiothoracic surgery and monitoring of Amyotrophic Lateral Sclerosis patients. Therefore, we are searching for partners dedicated to wearable sensors manufacturing, multimodal sensor data collection from wearable devices, integration of clinical data, and end-user stakeholders.PARTNERS ROLES: Fraunhofer Portugal AICOS:- ­Design and development of the Artificial Intelligence solution for health conditions monitoring- ­Research and development of tools for Trustworthy AI- ­(User research)­- (Project management)Wearable Development Partner:­- Research and development of new wearable solutions, including hardware and communication (considering proposed barriers to overcome)­- Discuss and plan certification as medical device­- (Design and development of the solution infrastructure for interoperability between health and wearable data, AI framework and visualization – we may search for a specific partner)Use Case Partner(s):­- Set objectives and disease use case­- Co-design decision monitoring and visualization tools­- Provide medical data for multimodal algorithms­- Implement pilot to test the developed solution;https://crowdhelix.com/uploads/post_attachments/631720cb1c877_Concept%20Note.pdf
14;Welcome to the In Silico Trials Helix - join us!;https://crowdhelix.com/opportunities/welcome-to-the-in-silico-trials-helix-join-us-2209;Alejandro Frangi;VPH Institute;https://crowdhelix.com/organisation/vph-institute-10801;Health, Announcements, In Silico Trials;;Helix members;"Dear Crowdhelix members,We are pleased to invite you to join the new In Silico Trials Helix to tackle one of the most pressing challenges in healthcare. With regulatory success rates of new medical products declining and clinical trials cost rising, innovation of medical products is stagnating despite increasing demand and technological innovations. Clinical trials in Europe, the US and the UK are moving abroad with lower costs. However, patient profiles, regulations and quality assurance may differ from those relevant to ensuring patient benefit in each geography. One reason for failure is that traditional trials aim to establish efficacy/safety for most subjects, rather than individual subjects, so efficacy is determined by a statistic of central tendency for the trial. Traditional trials do not adapt treatment to covariates of subjects, so so-called Precision Medicine becomes elusive. Many reports have pointed to this broken/slow innovation system and its impact on societal costs and suboptimal healthcare. However, radical changes to this innovation process are still to be developed. Dealing with the extraordinary multi-scale complexity and variability intrinsic to human biological systems and health data requires radically new approaches compared to methods for manufactured systems. Computational Medicine (aka in silico medicine) is an emerging discipline devoted to developing quantitative approaches for understanding the mechanisms, diagnosis, and treatment of human disease through the systematic application of mathematics, engineering, and computational science.The In Silico Trials Helix aims to amplify visibility and international collaboration among all in silico stakeholders. To do so, this Helix, led by the University of Leeds and KU Leuven, works with broader global and national initiatives like the Virtual Physiological Human Institute, InSilicoUK and the Avicenna Alliance. We are convinced that in silico medicine and in silico trials, we can help address these problems and transform healthcare for the benefit of patients, healthcare systems, and the associated sector. Recent developments in patient-specific computational simulations have enabled in silico trials to predict the safety and efficacy of novel drugs, medical devices, or other treatments as part of the research and development life cycle. Some benefits of in silico trials include: (i) enabling more evidence to be obtained before the bench or animal studies are started; (ii) extending the trial cohort to rare, extreme or difficult-to-recruit patient phenotypes; (iii) directly comparing two alternative treatments in the same virtual population (reducing the observed effect variance); (iv) evaluating devices under practically challenging physiological conditions that could represent extreme but plausible applications (off-label use); and (v) reducing the number of animals and humans required in trials, and the refinement of long-term studies to minimise suffering. Studies are beginning to demonstrate that human in silico drug trials demonstrate higher accuracy than animal models, accuracy higher than animal models.Worldwide industry representing medical devices, pharma, and simulation, as well as professional societies, academia, and regulators, are heavily engaged in driving innovations in computational modelling and simulation into regulatory science, promoting methods and processes delivering best in class in silico evidence, and engaging with patients to listen and communicate with the broader community on concerns and potential benefits of this approach. The US has actively developed partnerships between the FDA and Industry, particularly via the Medical Device Innovation Consortium. Internationally, both the Virtual Physiological Human Institute and the Avicenna Alliance take on this role as connector between different stakeholders, preparing the path from the computer screen to the patient.For further information about the In Silico Trials Helix, visit https://www.crowdhelix.com/hel... and click “Follow” to become an active member. You will then be notified of new opportunities and activities powered by this Helix.We are looking forward to meeting and working with you in the In Silico Trials Helix.Best regards,Liesbet Geris and Alex Frangi";
15;Seeking medical industry partner as an end user;https://crowdhelix.com/opportunities/seeking-medical-industry-partner-as-an-end-user-2191;Kubra Yurduseven;Intract Inovasyon & Danismanlik;https://crowdhelix.com/organisation/intract-inovasyon-danismanlik-10481;Health, Manufacturing;End User;Biomedical devices;One of our contacts from Fraunhofer is preparing a proposal for the call the HORIZON-KDT-JU-2022-2-RIA-Focus-Topic-2 and looking for an end-user from the medical industry. If you are interested, please contact euprojects@intract.com.tr;
16;Seeking international collaborators for the EU Mission Cancer call;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-the-eu-mission-cancer-call-1857;Anssi Auvinen;Tampere University;https://crowdhelix.com/organisation/tampere-university-10270;Health, Mission Cancer;Work Package Leader, Consortium Partner, Individual Expert;Cancer, Early detection, Risk factors, Behavioural factors;I am interested in creating a proposal on cancer risk factors and health determinants (HORIZON-MISS-2021-02-03) and looking to connect with a potential coordinator and partners.My expertise is in cancer epidemiology i.e. risk factors and health determinants mentioned in the call, especially those for prostate cancer and anything related to screening radiation, as well as design and conduct of randomized trials.;
17;Offering to lead an SSH work package on legal matters in upcoming calls;https://crowdhelix.com/opportunities/offering-to-lead-an-ssh-work-package-on-legal-matters-in-upcoming-calls-1846;Fernando Borges;University of Coimbra;https://crowdhelix.com/organisation/university-of-coimbra-391;Health, Society, Heritage & Culture;Work Package Leader;Smart cities, Environment, Health, Artificial intelligence, Migration, Transdisciplinary research;"University of Coimbra Institute for Legal research (UCILeR) research team offers to lead a Work Package to cover the SSH aspects of the call. A special focus will be given to the regulatory and legal implications of the research, looking for a maximization of the project’s impact through the contact with policy-makers coupled with a collaborative research methodology.Specifically, UCILeR team are able to contribute:1. assuring the compliance with ethical, regulatory and good practices protocols on the issues covered by the project;2. providing In-depth analysis of legal and regulatory framework regarding the project’s subject;3. with legal support for reports on how to translate project’s results into soft or hard law instruments.UCILeR has a centenary tradition of research within the Faculty of Law, that in the current times performs advanced research in cutting edge legal issues to develop legal strategies and improve innovative tools to deal with the most pressing societal challenges. UCILeR integrates 80 researchers dedicated to develop future-oriented interdisciplinary and transdisciplinary research, by fostering applied research and establishing partnerships with world-renowned research centers. Within our range of researchers, we can cover many subjects, including AI, Health, Environment, Migration, Smart Cities.";
18;Repurposing a new Liver Dialysis System, targeting systemic inflammation to save lives of COVID-19 ICU patients;https://crowdhelix.com/opportunities/repurposing-a-new-liver-dialysis-system-targeting-systemic-inflammation-to-save-lives-of-covid-19-icu-patients-964;Priyesh Khanna;Yaqrit Ltd;https://crowdhelix.com/organisation/yaqrit-ltd-199;Health, COVID-19;Coordinator, Consortium Partner;Funding, Investment, Statistical analysis, Cro, Analysis of biosamples;Yaqrit Discovery is a University College London spin-out company developing liver disease treatments.Professor Rajiv Jalan, Yaqrit’s scientific founder, has identified many similarities with patients we have already tested in advanced liver disease and COVID-19 patients in intensive care.The collaboration opportunity is to participate in the execution and delivery of a rapid clinical trial of the Dialive dialysis system for critically ill COVID-19 patients.;
19;Seeking an academic partner expert in the AI for spectroscopy analysis and / or in healthcare (medical device);https://crowdhelix.com/opportunities/seeking-an-academic-partner-expert-in-the-ai-for-spectroscopy-analysis-and-or-in-healthcare-medical-device-2176;Nadege Grabowski;Zaz Ventures;https://crowdhelix.com/organisation/zaz-ventures-447;Health, Digital, Pathfinder;Work Package Leader;Advanced big data analysis, Ai, Algorithms, Medical device;A German company is developing the next generation of devices to analyse biomarkers involved in the metabolic syndrome, through completely non-invasive methods.We are looking for a partner to develop the baseline correction algorithm to account for diversity and environmental variables. Ideally, the partner has expertise in the development and certification of medically certifiable algorithms.;
20;"Seeking international collaboration on ERA-NET NEURON JTC 2022 ""Cerebrovascular Diseases"" call";https://crowdhelix.com/opportunities/seeking-international-collaboration-on-era-net-neuron-jtc-2022-cerebrovascular-diseases-call-1819;Kasim Diril;Dokuz Eylül University;https://crowdhelix.com/organisation/dokuz-eylul-university-37;Health, Vascular;Work Package Leader, Consortium Partner;Cerebral small vessel disease, Cerebrovascular disease, Brain barriers dysfunction;I am leading a research platform that creates genetically modified animal models to study disease.We can collaborate and be part of consortia that wish to utilize mouse models in mechanistic or preclinical studies.;
21;"Offering expertise for Innovative Health Initiative call on ""Personalised oncology""";https://crowdhelix.com/opportunities/offering-expertise-for-innovative-health-initiative-call-on-personalised-oncology-2173;Dr. Carlo Matera;Universita degli Studi di Milano;https://crowdhelix.com/organisation/universita-degli-studi-di-milano-9;Health, Mission Cancer;Work Package Leader, Consortium Partner;Cancer, Biology, Anticancer drugs, Pharmacology, Molecular pharmacology, Photopharmacology;We would like to join a consortium preparing a project proposal on this topic.Please read below our expertise:Targeted therapies provide an opportunity to develop personalized medicines with superior treatment modalities for the patient and a better quality of life.Light is an unparalleled external signal to noninvasively manipulate biological systems with high spatial and temporal resolution and photopharmacology, which relies on the use of molecular photoswitches to control the activity of drugs with light, have great potential as a new modality for targeted therapies.We develop reversible photoswitchable drugs to enable light-mediated pharmacological treatments for cancer and other pathological conditions that would benefit from high-precision therapies.;
22;Seeking to join consortium for call HORIZON-JU-IHI-2022-02-two stage- Cardiovascular diseases;https://crowdhelix.com/opportunities/seeking-to-join-consortium-for-call-horizon-ju-ihi-2022-02-two-stage-cardiovascular-diseases-2172;Projektna Pisarna;National Institute of Chemistry;https://crowdhelix.com/organisation/national-institute-of-chemistry-307;Health, Vascular;Work Package Leader, Consortium Partner;Bioinformatics, Organic chemistry, Biomarkers (samples), Clinics, Polymer scientist;We are looking for potential collaborators for call HORIZON-JU-IHI-2022-02-two-stage: Cardiovascular diseases - improved prediction, prevention, diagnosis, and monitoring, from the following fields:1. Clinic, including hospitals and patient organizations to provide samples with relevant biomarkers (samples) and all the necessary information, medical requests and needs, that should be addressed in the process of developing effecient sensors.2. Bioinformatics data specialists (analysts): during development of the sensors, a lot of data is going to be produced and we need specialists in the field to help us analyze and classify the data. 3. Organic chemists to provide us with unnatural amino acids or other small organic molecules needed for engineering of the protein nanopores. 4. Organics chemists, polymer scientist, to help us develop stable/robust sensor surfaces for successful incorporation of the newly developed protein nanopores. This can also include industrial partners who are already specialized in this.;
23;Invitation to join the Liver Health Helix;https://crowdhelix.com/opportunities/invitation-to-join-the-liver-health-helix-1610;Rajiv Jalan;European Foundation for the Study of Chronic Liver Failure (EF Clif);https://crowdhelix.com/organisation/european-foundation-for-the-study-of-chronic-liver-failure-ef-clif-10515;Health, Liver Health;;Liver disease, Hepatology, Cirrhosis, Bioinformatics, Aclf, Acute-on-chronic liver failure, Drug manufacturing;"We are pleased to invite you to join the new 'Liver Health Helix' community. This Helix arises from a newly funded Horizon 2020 Research and Innovation action called A-TANGO*.The vision of A-TANGO is to bring an innovative therapeutic strategy to the clinic to reduce the mortality and improve the quality of life of patients with ACLF. This novel combinatorial therapy combines a drug that targets inflammation and granulocyte colony-stimulating factor that improves hepatocyte proliferation. In addition, A-TANGO strives to identify reliable biomarkers for better patients’ stratification and an increased survival rate.The Liver Health Helix will form the hub of a virtual community where you can collaborate with your peers and will be able to follow the project's advancements, activities, events, and results. Within the Helix you can share and join specific collaboration opportunities related to this topic. You can also invite any stakeholders outside of the Network who may be interested in this field, and whom you trust to participate.To join the Liver Health Helix visit https://www.crowdhelix.com/hel... and click ""Follow"". You will then be notified of new opportunities posted, according to your chosen notification settings.*The A-TANGO project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 945096";
24;Invitation to sign up to the new Vascular Helix;https://crowdhelix.com/opportunities/invitation-to-sign-up-to-the-new-vascular-helix-1104;Andreea Petrea;Crowdhelix;https://crowdhelix.com/organisation/crowdhelix-134;Health, Vascular;;Heart failure, Cardiovascular, Cardio-vascular diseases, Microvascular functions, Microvascular rarefaction, Cognitive impairment, Microvascular density;"Dear Crowdhelix members,We are pleased to invite you and your collaborators to join the new 'Vascular Helix' community. This Helix arises from, and will provide impact and dissemination support for, a newly funded Horizon 2020 research and innovation action called 'CRUCIAL - MiCrovasculaR rarefaction in vascUlar Cognitive Impairment and heArt faiLure'.The project will investigate the ability of the newest MRI technology to detect changes in microvascular function using non-contrast diffusion imaging and artificial intelligence methods. CRUCIAL will also develop other non-invasive measures of microvascular rarefaction that will be cheaper and easier to widely disseminate in clinical practice (sublingual and retinal microvascular imaging, and blood microvesicle analysis). The project will apply these techniques to prospective cohorts with cognitive impairment and heart failure, with the goal of demonstrating that rarefaction can be used as a biomarker to diagnose and stratify patients.The Vascular Helix will form the hub of a permanent virtual community where interested participants will be able to follow the project's advancements, activities, events, and results, as well as share specific collaboration opportunities related to this topic. If you know of any stakeholders outside of the Network who may be interested in this field, and whom you trust to participate in it constructively, please do not hesitate to share this post with them using the ""Share"" button directly below - they will receive an invitation to participate in the Helix community via the Crowdhelix platform.We invite you to visit the CRUCIAL project website at https://www.crucial-project.eu... and stay tuned to the Vascular Helix for the latest updates about microvascular density and the role of microvascular rarefaction in cognitive impairment and heart failure.Additionally, if you yourself would like to be informed of upcoming collaboration opportunities in the field, you can do this by visiting https://www.crowdhelix.com/hel... and clicking ""Follow"". You will then be notified of new opportunities posted, according to your chosen notification settings.Kind regards,the Crowdhelix and CRUCIAL teams. This project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 848109 🇪🇺";
25;Seeking cardiogenomics experts for EIC Pathfinder Challenge;https://crowdhelix.com/opportunities/seeking-cardiogenomics-experts-for-eic-pathfinder-challenge-2124;Christa Ivanova;Elvesys;https://crowdhelix.com/organisation/elvesys-441;Health, Pathfinder;Coordinator, Consortium Partner;Gene therapy, Advanced phospholipid vesicles, Cardiogenomics, Biomarker identification;We (Elvesys) are preparing a proposal for the EIC Pathfinder Challenges call on Cardiogenomics (deadline in October) and we are looking for a partner with expertise in cardiogenomics, biomarker identification, gene therapy or related - private or academia.;
