ID;Reg. kód;Název;Navrhovatel;UČO;Role MU;Středisko;Pracoviště;Anotace
41030;0260/2014;Advanced Methods of Data Analysis in Neuroscience as a New Course at the Faculty of Medicine, MU;Koriťáková Eva, RNDr. Ph.D.;184380;Příjemce-koordinátor;LF;Inst.biostatistiky a analýz;Motor rehabilitation in Parkinson's critically depends on existing motor skills or the ability to acquire new ones. Thus, finding ways to enhancing motor skill learning capacity in Parkinson's is essential. Past research indicates that sensory stimulation and task cueing can improve motor learning. Yet, the extent to which increasing individual's engagement in the task, in addition to sensory stimulation, can have further positive effects remains unknown. This innovation grant aims to demonstrate that increased task engagement through ecological goals and social interaction can significantly improve procedural learning capacity in people with Parkinson's. To this end, performance in a classical implicit motor learning paradigm (goal: reacting to stimuli presented on a computer screen) will be contrasted with that of two other conditions, where a console videogame (similar to Guitar Hero) will be used, with or without social interaction, in a controlled experiment involving people with Parkinson's and age and gender-matched controls. The ecological goals in the videogame conditions (playing a musical instrument alone or during social interaction) are expected to increase task engagement and improve motor learning capacity more than the classical paradigm. The project is innovative because it uses existing low-cost technology to evaluate the ecological contribution of motivation/reward in increasing motor skill learning capacity in Parkinson's. This research is a critical step in further expanding the range of low-cost, non-pharmacological interventions which can easily be implemented outside the clinical setting (i.e. at home) and tailored to one's needs/preferences, hence contributing to the advancement of personalized tele-interventions means in Parkinson's.
41054;0257/2014;Innovation of materials for teaching the basics of pharmacology;Máchalová Alena, MUDr. Ph.D.;59956;Příjemce-koordinátor;LF;Farmakologický ústav;Childhood cancers are rare diseases with an incidence of one per 100,000 people, compared to adult cancers. Although this type of disease is rare, it is the second most common cause of death in children after accidents. The treatment of these patients in the Czech Republic is centralised in two specialised centres: the Department of Paediatric Haematology and Oncology at Motol Hospital in Prague and the Department of Paediatric Oncology at Brno University Hospital. The treatment of haemato-oncology patients is also partly provided by centres in Ostrava, Olomouc, Plzeň, Hradec Králové, Plzeň, České Budějovice and Ústí nad Labem. In accordance with the recommendation of the Council of Europe (2009/C 151/02), the centres of the Motol Hospital and Brno Hospital have established and maintain a database of diagnosed and treated paediatric patients. The database contains over 6 thousand records of patients diagnosed since 1995. The data from the clinical database are currently used for internal clinical and scientific purposes, but their scope is limited to clinical events and treatment provided in one of the two main centres. To enter into international projects, linkage with other data sources and overall validation and standardisation of the available data is necessary. There is a lack of data on long-term survival, secondary comorbidities including secondary malignancies diagnosed in adulthood. Also, analysis to determine the true extent of the diseased population in the Czech Republic could not yet be carried out. This current deficit in data sources excludes the Czech Republic from international projects such as EUROCARE or ACCIS, to which all neighbouring countries actively contribute their data. The aim of the project is to solve this serious shortage by extracting all available data sources followed by a thorough statistical analysis and making the results available in the form of an information and educational portal.
41044;0247/2014;"A series of seminars ""Selected aspects of contemporary scientific work in the field of biomedicine"" with a final student presentation seminar within the Scientific Preparation course for gifted students of the Faculty of Medicine studying in the P-PooL programme";Bébarová Markéta, doc. MUDr. Ph.D.;15000;Příjemce-koordinátor;LF;Fyziologický ústav;The aim of the CZECRIN project is to build an infrastructure supporting the
41027;0243/2014;Teaching heart muscle cell formation and the use of stem cells in medicine;Pešl Martin, MUDr. Ph.D.;60014;Příjemce-koordinátor;LF;Biologický ústav;setup, implementation and analysis of international academic clinical trials and
41023;0235/2014;Lecture notes for Biochemistry I (VSBC021p);Dostál Jiří, doc. RNDr. CSc.;1309;Příjemce-koordinátor;LF;Biochemický ústav;clinical trials (Investigators Initiated Trials, IITs) within the Czech Republic by creating
40995;0217/2014;Study internship of talented students at the Department of Medical Anthropology of the Anatomical Institute of the Faculty of Medicine of Masaryk University;Vargová Lenka, doc. MUDr. Ph.D.;2737;Příjemce-koordinátor;LF;Anatomický ústav;coordination centres at universities (Clinical Trials Centres) and linking them
41007;0213/2014;Innovations in anatomy teaching for physiotherapists;Vymazalová Kateřina, RNDr. Ph.D.;184368;Příjemce-koordinátor;LF;Anatomický ústav;with clinical research units (Clinical Trials Units) in individual health care
41004;0207/2014;"Innovation of the course ""VLLF111 Advanced Practical Course in Medical Physics"".";Vlk Daniel, Mgr. CSc.;98282;Příjemce-koordinátor;LF;Biofyzikální ústav;institutions and through a national coordination point (MU + FNUSA-ICRC) and thus connecting them to the European research infrastructure ECRIN.
40987;0203/2014;Curriculum innovation: Creation of an electronic learning support for the course Nursing Care in Paediatrics for the study fields of General Nursing, Radiological Assistant and Orthopaedics.;Pinkavová Hana, Mgr.;38849;Příjemce-koordinátor;LF;Ústav zdravotnických věd;The intention of the project is to create a three-part educational film consisting of 1.Histological techniques for light microscopy 2.Histological techniques for electron microscopy 3.Modern histological and histochemical techniques in practice. The film will serve all graduate and undergraduate students, although it will preferably be prepared for students in the medical laboratory science program. By being divided into parts, it can also be used for teaching students of other disciplines throughout MU.
40962;0201/2014;Support for a student project to develop a database of anatomical structures in modern imaging methods;Hábová Kateřina, MUDr.;233401;Příjemce-koordinátor;LF;Anatomický ústav;The aim of the course is to extend the teaching of dermatovenerology to the issue of wound healing with a focus on wound healing in a moist environment, debridement methods including practical training on pigs' feet, an overview of current covering materials and their practical application will be given. Particular attention will be paid to the treatment of chronic tibial ulcerations of venous etiology, with practical training in compression bandaging. The course will also cover practical demonstrations of the basics of suturing.
40983;0195/2014;Creating simulation scenarios;Zvoníček Václav, MUDr. Ph.D.;24011;Příjemce-koordinátor;LF;Anesteziolog.-resuscitační klinika;"The aim of the ""Digital Image Documentation"" project is to create photographic documentation of workflows and to expand the existing image material of clinical cases for dental students. The materials obtained will be used in preclinical and clinical teaching and will be subsequently expanded to include documentation of less common diseases and new work procedures."
40956;0191/2014;Practical exercises for cell cycle analysis;Rotrekl Vladimír, Mgr. Ph.D.;699;Příjemce-koordinátor;LF;Biologický ústav;The aim of the project is to extend modern treatment procedures in conservative dentistry by introducing ultrasound devices and preparation tips into teaching. They can be used to complete the preparation of cavities in the treatment of caries, as well as in the treatment of caries complications, where ultrasound can be used to better prepare the canal(s) of the tooth and thus ensure a better final effect of the endodontic treatment.
40981;0188/2014;Innovation 4 exercises from Biology;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce-koordinátor;LF;Biologický ústav;Use of funds from the FRMU for a PhD student of LF MU Ing. David Pospíšil is primarily aimed at combining the practical aspects of professional training directly at a European workplace together with increasing the level of linguistic competence in English and German. In addition, he will also strengthen his skills for his budding scientific and pedagogical work and gain international experience including valuable scientific contacts. The experience will also be used by the investigator in teaching cardiology in a foreign language.
40898;0121/2014;Molecular studies on selected colicin types: characterization of alternative molecules to antibiotics;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce-koordinátor;LF;Biologický ústav;The project Root Canal Machining, which is in line with MU's intention to support the pedagogical work of academic staff under 35 years of age, aims to practically introduce dental students to the modern trend in 21st century dentistry, where rotary instruments dominate the endodontic treatment of caries complications and injuries during root canal machining and shaping. The advantages of this method of treatment can be seen in the saving of time, in the higher quality of treatment and in the reduction of fatigue of the treating person.
40908;0113/2014;Adaptation of the teaching room within the Snoezelen and Basal Stimulation concept for the innovation of the Chronic Intensive Care subject;Schneiderová Michaela, PhDr. Ph.D.;112182;Příjemce-koordinátor;LF;Ústav zdravotnických věd;The project aims to innovate the undergraduate teaching of paediatrics at the Faculty of Medicine. After completing the courses Pediatrics II-exercise and Pediatrics III-exercise, the student will understand the principles and be able to apply the methods of personalized medicine on a model of childhood tumours. The goal will be achieved by (i) innovating the content of the courses, (ii) offering attractive topics from practice for so-called independent work of students and (iii) offering new e-learning support.
40873;0089/2014;E-learning course in geriatrics;Matějovská Kubešová Hana, prof. MUDr. CSc.;1091;Příjemce-koordinátor;LF;Klinika interní, geriatr. a pr.lék.; These objectives are realistic and lead to the development of teaching in accordance with the rules of the FRMU 2014 competition.
40865;0080/2014;Memorix of anatomy Interactive textbook of anatomy for Czech and foreign students;Volný Ondřej, doc. MUDr. Ph.D.;214565;Příjemce-koordinátor;LF;Anatomický ústav;In order to improve the quality of teaching in the courses Surgery II and III (ZLCH0832 and ZLCH0833) and the course Surgery - Pre-promotional Practice (VLCH11Xpp), it is necessary to acquire standard projection technology for the teaching room of the newly created I. It is also necessary to have an adequate web presentation of the centre, including the possibility of online registration of participants for courses/seminars and maintenance of a database with the results of participants and their further processing, presentation of videos and selected case studies.
40845;0073/2014;Support for internships of talented students at the Department of Neuroanatomy, Faculty of Medicine, Masaryk University;Joukal Marek, doc. MUDr. Ph.D.;258796;Příjemce-koordinátor;LF;Anatomický ústav;The aim of the project is to create scripts for internal propedeutics in English. The work is intended to help in better integration of theoretical knowledge and practical skills in teaching of clinical subject. The text is intended for foreign students of the Faculty of Medicine and their teachers as an aid in acquiring basic knowledge in internal medicine. It is also intended for Czech students, who can improve their English terminology in this field. The project is based on practical teaching experience and on the students' request.
40793;0057/2014;Modern trends in testing issues in medical education;Komenda Martin, RNDr. Ph.D.;98951;Příjemce-koordinátor;LF;Inst.biostatistiky a analýz;Nosocomial infections are a serious problem, complicating the treatment of patients, increasing the length of hospital stay and thus the cost of treatment. For this reason, it is necessary that the students of the Faculty of Medicine be familiar with the possibilities of typing the causative agents of these infections, which is important from the point of view of epidemiology and also for hygienic measures.
40788;0051/2014;"Elective course ""Human Diseases in the Light of Contemporary Biomedicine"" within the course Scientific Preparation for ""P-PooL""";Kaňková Kateřina, prof. MUDr. Ph.D.;2524;Příjemce-koordinátor;LF;Ústav patologické fyziologie; The usual option for typing nosocomial strains is pulsed gel electrophoresis, which allows comparison of isolated strains on the basis of genetic similarity.
40787;0048/2014;Innovation of the study subject otorhinolaryngology;Šlapák Ivo, prof. MUDr. CSc.;2258;Příjemce-koordinátor;LF;Klinika dětské ORL;The proposal deals with the extension of the practical teaching of the Medical Microbiology course with an electronic version of the new study materials. This version will be dedicated to clinical bacteriology and will help students understand the continuity of microbiological examination procedures in clinical practice. Interactive study materials with visual attachments, including several dozen photographs and a number of diagnostic schemes, will be displayed in the IS MU study materials with the prospect of making them available within the LF CR and SR Mefanet network.
40765;0041/2014;Interactive form of seminar teaching of medicinal chemistry and biochemistry;Peš Ondřej, Mgr. Ph.D.;63698;Příjemce;LF;Biochemický ústav;The aim of the project is to create web and printed information materials for P-PooL and PhD students of the Faculty of Science that will present the scientific activities of the Faculty of Science in an intuitive and clear way, including methodological expertise, the focus of individual institutes, research groups and excellent individuals. This project aims to offer students an orientation in the scientific activities of the Faculty of Science, unique instrumentation and methodological expertise, and thus support their scientific multidisciplinary education.
40726;0032/2014;Innovation of practical teaching of the subject Production of optical aids;Petrová Sylvie, Mgr.;33774;Příjemce-koordinátor;LF;Kat.optometrie a ortoptiky;The project is in line with MU's intention to support the pedagogical work of academic staff under 35 years of age. The aim of the project is to improve the quality of practical teaching within the subject of Children's Dentistry, which takes place in the Department of Paediatric and Adolescent Dentistry.The Dental Clinic will thus gain a workplace that meets the requirements of a well-equipped private dental clinic and will increase the prerequisite for successful employment of graduates in practice.
40663;0015/2014;Dynamic visual acuity in professional drivers;Krasňanská Jitka, Mgr. Ph.D.;101080;Příjemce-koordinátor;LF;Kat.optometrie a ortoptiky;The aim of the proposed project is to prepare a course on working with scientific text, aimed at pre- and postgraduate students of the Faculty of Medicine, primarily from the Department of Pathological Physiology, and then from other departments of the Faculty of Medicine.
40046;1079/2013;Improving the surface properties of PVC for medical applications using electric plasma generated under atmospheric pressure;Černák Mirko, prof. RNDr. CSc.;54782;Příjemce;PřF;Ústav fyzikální elektroniky;The present project focuses on practical exercises in Biochemistry II for general medicine. The aim of the project is to create a new exercise in biochemistry concerning biochemical tests of cerebrospinal fluid used in the diagnosis of diseases of the central nervous system. New tasks related to the determination of biochemical parameters in the liquor will be introduced into the teaching, and guidelines and handouts for the exercises will be developed. The project innovates the existing practical exercises from Biochemistry II.
40083;1078/2013;Legal, ethical and organizational aspects of drug regulation in the era of personalized medicine in the 21st century;Křepelka Filip, doc. JUDr. Ph.D.;353;Příjemce-koordinátor;PrF;Ústav práva a technologií;In scope of this project we will investigate the role of immunosurveillance in advance age in the cancer development. Lymphocytes play a central role in the establishment and maintenance of adaptive immunity. Deregulation of lymphocyte gene expression in the process of cellular aging closely correlates with decline adaptive immune response to infection and cancer cell clearance in elderly. Milestone of this study is to generate a set of gene targets suitable as candidates for manipulation to slow down aging process of the immune system in the middle aged healthy population.
40043;1074/2013;Plant alkaloids as models for drug design - creating a compact platform at MU;Koča Jaroslav, prof. RNDr. DrSc.;610;Příjemce-koordinátor;CEITEC;VS Jaroslava Koči;Fibroblast growth factor (FGF) signaling system represents one of the major tools of cell communication. FGF signal via activation of four transmembrane receptor tyrosine kinases (FGFR1-4) to regulate a variety of developmental and regenerative processes. Aberrant FGFR activation frequently leads to disease. Activating mutations in FGFR3 alone account for at least 10 conditions, including syndromes affecting skeletal development, skin and cancer. Prolonged activation of ERK MAP kinase represents a major mediator of the FGFR function, but the mechanisms underlying this phenomenon remain unknown.
40023;1073/2013;Molecular classification of low-grade breast cancer by systems biological approaches for optimal therapy selection;Bouchal Pavel, doc. Mgr. Ph.D.;8757;Příjemce-koordinátor;PřF;Ústav biochemie; Our preliminary experiments point to a complex regulatory networks that operate at many different subcellular levels to allow for prolonged ERK activation in FGFR signaling. These involve mechanisms regulating FGFR expression, interactions of FGFRs with the protein members of their signaling complexes, processes governing active FGFR turnover at the cell membrane, and negative feedback mechanisms involved in downregulation of the FGFR-ERK signal. Through a combination of mathematical modelling, genetics, molecular biology and biochemistry approaches, we will describe, for the first time, the regulatory networks mediating prolonged activation of ERK pathway, in major biological processes regulated by FGFRs. These will include pathological FGFR signaling in skeletal dysplasias and cancer, and physiological FGFR signaling in maintenance of pluripotency in human embryonic stem cells (hESC) and induced pluripotent stem cells (hiPSC).
40005;1071/2013;Study of heart failure in a model of differentiated pluripotent cells cultured on modified nanofibers;Rotrekl Vladimír, Mgr. Ph.D.;699;Příjemce-koordinátor;LF;Biologický ústav; Unraveling of the mechanisms regulating FGFR-ERK signaling, proposed in this project, not only holds a key to our understanding of the basic mechanics of FGFR signal transduction, but will also aid an identification of novel therapeutic targets for pathological conditions caused by aberrant FGFR signaling.
39984;1069/2013;Effect of physical activity on quality of life and prognosis of patients with haemato-oncological diseases;Janíková Andrea, doc. MUDr. Ph.D.;1127;Příjemce;LF;Interní hematol.a onkol.klinika;Our intricate intellect is orchestrated by billions of neurons in the brain, which communicate with each other via specialized junctions called synapses. Pathological synapse development and/or function result in many neuropsychiatric disorders: schizophrenia, autism, mental retardation, and Alzheimer's disease. It is of fundamental and clinical importance to understand the biochemical, cellular and molecular biological basis of synaptic function and plasticity. The functional synapses heavily depend upon healthy postsynaptic density (PSD), which is a cytoskeletal organization close to the postsynaptic membrane. SHANK3 is a key element of the PSD. Dysregulation of SHANK3 leads to pathophenotypes of synapses, which is linked to various neuropsychiatric disorders, especially autism.
