Id;Kód MU;Zahájení;Název projektu;Řešitel (MU);UČO;Ukončení;Role MU;Investor/Program/Podprogram;HS/součást MU;Pracoviště HS/součásti;Další HS/součást MU;Finance pro MU;- měna;Apl. výzkum;Anotace;Příslušné pracoviště MU
36109;MUNI/A/0810/2016;1.1.2017;Molecular and cellular biology;prof. Ing. Petr Dvořák, CSc.;47260;31.12.2017;Příjemce-koordinátor;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Biologický ústav;;1 999 975;Kč;Ne;The genus Treponema includes a number of human and animal pathogenic species and subspecies that cause syphilis (T. pallidum ssp. pallidum), yaws (T. pallidum ssp. pertenue), endemic syphilis (T. pallidum ssp. endemicum), and pinta (T. carateum). The main aim of the project is to develop techniques based on single cell analysis to obtain whole genome sequences of pathogenic treponemes. Given the characteristics of treponemal genomes, we plan to obtain high quality whole genome sequences including sequences of paralogous and repetitive regions. The genome sequences will help in elucidating treponemal virulence, adaptation to the host environment and also their evolution. The specific objectives of the project include the development of techniques based on single cell analysis, genome sequencing directly from clinical material and analysis of genomes derived from single cells for the presence of genetically variable sites in the treponemal population. We plan to examine more than 30 treponemal genomes and 30 genomes derived from individual treponemal cells.;Odbor výzkumu (OV)
36087;MUNI/A/0814/2016;1.1.2017;Hearing loss in childhood - causes, diagnosis, rehabilitation options.;doc. MUDr. Milan Urík, Ph.D.;141920;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské ORL;;400 000;Kč;Ne;;Odbor výzkumu (OV)
36096;MUNI/A/0904/2016;1.1.2017;Early and late changes of colorvocity in macular disease;Mgr. Petr Veselý, DiS., Ph.D.;176573;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Kat.optometrie a ortoptiky;;250 000;Kč;Ne;;Odbor výzkumu (OV)
36095;MUNI/A/0922/2016;1.1.2017;Identification of the risk of pressure lesions in intensive care - evaluation of psychometric properties of pressure lesion risk scales (IRTL);PhDr. Simona Saibertová, Ph.D.;156459;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav zdravotnických věd;;500 000;Kč;Ne;The aim of this project is to generate new scientific information from biomedically oriented research topics that have the potential to elucidate the nature of human disease. This will involve the application of molecular biology, molecular genetics and cell biology methods. The research will involve independent scientific teams of the Institute of Biology of the Faculty of Medicine of the Medical University of Masaryk University with different research topics and tools, which will have a scientific quality of at least European level and at the same time the potential for downstream translational medical research as it is carried out within the Faculty of Medicine of Masaryk University.;Odbor výzkumu (OV)
36068;MUNI/A/0948/2016;1.1.2017;Diseases of the oral cavity - etiopathogenesis, clinical manifestations, diagnosis and treatment;prof. MUDr. Lydie Izakovičová Hollá, Ph.D.;734;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Stomatologická klinika;;1 150 000;Kč;Ne;;Odbor výzkumu (OV)
36064;MUNI/A/0949/2016;1.1.2017;Differential diagnosis and prognosis estimation of internal diseases;MUDr. Jan Novák, Ph.D.;324158;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;II. interní klinika;;500 000;Kč;Ne; Another important goal of this project is the scientific training of master and doctoral students to work in key research areas and with an emphasis on mastering modern research and diagnostic techniques. Emphasis will be placed on technically challenging education directly in research laboratories coupled with mastery and development of modern research techniques and mutual transfer of laboratory experience, skills and knowledge. Students will also be guided in the preparation and planning of experimental work and the analysis and interpretation of scientific results. They will also be guided to improve their ability to present their results to professional and lay audiences.;Odbor výzkumu (OV)
36044;MUNI/A/0955/2016;1.1.2017;Optimization of diagnosis of nosocomial pathogens testing new antimicrobial therapy options;prof. MUDr. Filip Růžička, Ph.D.;1100;31.12.2017;Příjemce-koordinátor;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Mikrobiologický ústav;;700 000;Kč;Ne;In the Czech Republic, 600 to 1200 children with moderate hearing loss and 100 children with very severe hearing loss are diagnosed each year. Hearing defects affect 1:1000 physiological newborns and 20-40:1000 pathological newborns. Compared to other childhood diseases that are picked up by full-body screening, such as phenylketonuria (1:4500 newborns) or hypothyroidism (1:4000 newborns), this is a very common disability with far-reaching consequences. Up to 60% of hearing defects are congenital, occurring during the first trimester of pregnancy, and 40% are acquired. A child with a hearing loss is at risk of delayed psychomotor development, limited learning ability, difficulties in integrating into society, and problems in entering the labour market later in life. Modern medicine is constantly looking for ways to adequately rehabilitate hearing. The aim of the project is to monitor the effectiveness and compare different options of hearing rehabilitation (cochlear implants, hearing aids, BAHA, middle ear implants) in children of different ages and with different types of hearing loss.;Odbor výzkumu (OV)
36066;MUNI/A/0968/2016;1.1.2017;The use of electromagnetic sensors in distal fixation of intramedullary nails in long bone fractures;MUDr. Tomáš Valoušek;71739;31.12.2017;Příjemce-koordinátor;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. ortopedická klinika;;400 000;Kč;Ne;People over 50 years of age are at risk of developing retinal degenerative changes. The most common cause is age-related degeneration, which adversely affects vision due to macular involvement. That is why our work will focus mainly on this ocular pathology. AMD is divided into a dry form and a wet form. The dry form is manifested by a gradual deterioration of vision, while the wet form is manifested by impaired vision and metamorphopsia. The aim of this study is to establish reference values of colorvocity related to macular diseases with a focus on VPMD. Early detection of colorvocity disorder may ensure early detection of macular disease.;Odbor výzkumu (OV)
36110;MUNI/A/0973/2016;1.1.2017;Junctions and permeability of the blood-liquor barrier after Paclitaxel administration;prof. RNDr. Petr Dubový, CSc.;698;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Anatomický ústav;;600 000;Kč;Ne;The project continuously builds on the project activities of the JRC from the previous years 2012 to 2015, focused on the development and implementation of a clinical guideline for the care of people with non-healing wounds. In previous years, extensive research was conducted on the process of assessing non-healing wounds in clinical practice (in acute inpatient care, home care and social service settings).   Based on the analysis of the outcomes of previous projects, gaps were identified not only in the assessment of non-healing wounds, but in particular in the lack of erudition of non-medical direct care workers in wound management and in identifying the risk of decubitus lesions. The quality of care for people with non-healing wounds has been assessed within the framework of JRC projects, but the issue of assessing the psychometric properties of assessment tools has not yet been addressed in the Czech Republic. This paper is thus one of the first of its kind. The project should enable further improvement of the quality of care using foreign experience (especially the work of Prof. M. Ahtial from Finland and the validation of the scale for assessing the risk of decubitus) and their implementation. Particular attention will be paid to the identification of patients at risk of developing decubitus in intensive care and to the assessment of inter-rater reliability of individual tools. This is an intervention project. The project activities build on the professional activities of the project co-proposer (member of the committee of the Czech Society for Wound Management - CSWM, member of the committee of the European Wound Management Association - EWMA) and contacts with the Finnish researcher Prof. Maarit Ahtiala. The aim of the project is to improve the professional competence of general nurses in wound management in intensive care. The project is designed as a multidimensional one, linking specific areas of wound management - prevention and diagnosis of pressure ulcers. It also changes the perspective on the identification of lesion risk. The basis of the process of effective care is the correct determination of risk, followed by diagnosis and appropriate treatment - naming and epidemiological assessment of the phenomenon. Based on the project activities, it will be possible to collect relevant data, to perform clinical and population (epidemiological) assessment in a specific health care facility, to plan and implement educational activities for health care professionals in direct care and to increase the knowledge and skills of health care professionals.;Odbor výzkumu (OV)
36090;MUNI/A/0978/2016;1.1.2017;The use of non-contact thermography as a new approach for determining the optimal resection line in colorectal cancer;Mgr. Erik Staffa, Ph.D.;175512;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Biofyzikální ústav;;299 739;Kč;Ne;The proposal covers several projects addressing the issue of oral disease research using modern microbiological, molecular biological and imaging methods. The project will build on our previous investigations and address topics relevant to these basic needs.;Odbor výzkumu (OV)
36046;MUNI/A/1010/2016;1.1.2017;Effect of electroporation ablation on human heart cells;MUDr. Martin Pešl, Ph.D.;60014;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. interní kardioangiolog. klinika;;297 108;Kč;Ne;Differential diagnosis (dif. dg.) of diseases, or estimation of how the patient's disease will further develop (determination of prognosis), is still one of the most challenging activities of internal medicine physicians. Some symptoms are common to different diseases and differentiation of their causes is sometimes only possible with the use of expensive investigative methods. Other diseases are very heterogeneous and 'unpredictable' and it is impossible to determine how they will develop even with the available markers and methods. The;Odbor výzkumu (OV)
36049;MUNI/A/1028/2016;1.1.2017;Diagnosis and pathophysiology of neuropathic pain;prof. MUDr. Josef Bednařík, CSc.;1308;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Neurologická klinika;;700 000;Kč;Ne;proposed project focuses on differential diagnosis of diseases and estimation of their prognosis using clinical markers and markers derived from clinical biochemistry and molecular biology. It brings together the topics of four Ph.D. students, motivating them to work with undergraduate students and also preparing topics for possible future Ph.D. students in other fields of internal medicine at the II Internal Medicine Department of FNUSA. The;Odbor výzkumu (OV)
36092;MUNI/A/1063/2016;1.1.2017;Experimental and translational pharmacology research and development;doc. PharmDr. Jana Rudá, Ph.D.;169493;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Farmakologický ústav;;893 164;Kč;Ne;objectives of the project are;Odbor výzkumu (OV)
36071;MUNI/A/1106/2016;1.1.2017;New approaches in research, diagnosis and therapy of haematological malignancies IV;RNDr. Ludmila Šebejová, Ph.D.;85269;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Interní hematol.a onkol.klinika;;1 998 979;Kč;Ne;i) identification of circulating microRNAs that would facilitate the diff. dg. of dyspnea and proteinuria;Odbor výzkumu (OV)
36105;MUNI/A/1133/2016;1.1.2017;Mapping neural and physiological correlates of psychological function in patients with mental disorders and implications for individualized treatment;prof. MUDr. Tomáš Kašpárek, Ph.D.;54879;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Psychiatrická klinika;;650 000;Kč;Ne;ii) identification of new markers enabling the diagnosis and diff. dg. of pancreatic lesions;Odbor výzkumu (OV)
36089;MUNI/A/1161/2016;1.1.2017;Residual neuromuscular blockade in the operating room - a prospective observational study;doc. MUDr. Jozef Klučka, Ph.D.;119252;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské anesteziologie;;600 000;Kč;Ne;iii) creation of a database of patients with DM2T to enable their long-term follow-up and prediction of further disease progression using various new markers;Odbor výzkumu (OV)
36091;MUNI/A/1205/2016;1.1.2017;Contribution of biochemical methodologies to the study of the molecular basis of selected pathologies and diseases;prof. RNDr. Eva Táborská, CSc.;1068;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Biochemický ústav;;900 000;Kč;Ne;iv) to determine the prevalence and further prognosis of the disease in patients with alcoholic cardiomyopathy;Odbor výzkumu (OV)
36045;MUNI/A/1206/2016;1.1.2017;Primary and secondary disorders of the production of antibodies and components of the complement system;prof. MUDr. Jiří Litzman, CSc.;403;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav klin. imunologie a alergolog.;;699 913;Kč;Ne;The project will involve Ph.D. students, their supervisors and their assigned undergraduate students. The involved student physicians will provide patient recruitment and, together with the undergraduate students, their thorough standard and special examinations, collection of biological material and subsequent analyses.;Odbor výzkumu (OV)
36048;MUNI/A/1208/2016;1.1.2017;Monitoring late effects of chemotherapy in pediatric patients using advanced brain MR imaging techniques;doc. MUDr. Miloš Keřkovský, Ph.D.;21767;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika radiologie a nukleární medicíny;;700 000;Kč;Ne; The output of the project in the first year will be the presentation of pilot results at local conferences and the preparation of summary publications for an impact factor journal. Ph.D. students working on the project will also collect data for their dissertations.;Odbor výzkumu (OV)
36107;MUNI/A/1218/2016;1.1.2017;Safety of therapy for multimorbid seniors;prof. MUDr. Hana Matějovská Kubešová, CSc.;1091;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika interní, geriatr. a pr.lék.;;400 000;Kč;Ne;The project is focused on optimization of diagnostics of causative agents of nosocomial infections (multidrug-resistant enterobacteria and pseudomonads, yeasts, methicillin-resistant S. aureus, etc.) and less common nosocomial agents (Propionibacterium acnes and Candida parapsilosis yeasts, etc.). These microorganisms pose a significant risk to patients with weakened immunity. The rapid and reliable identification of these microorganisms and the monitoring of their clonality, as well as the demonstration of the presence of virulence factors, are crucial for the implementation of effective preventive measures and the choice of appropriate therapeutic approaches. The project addresses comprehensively the issue of diagnosis of nosocomial infections caused by these microorganisms, with emphasis on optimisation of diagnostic schemes as well as the design and validation of new identification and typing methods, including molecular biology techniques and methods based on capillary electrophoresis, Raman spectrometry and mass spectrometry. The clinical relevance of the agents under investigation will also be assessed by monitoring their prevalence and demonstrating the presence of virulence factors and biofilm formation. The project also includes the search for new preventive and therapeutic approaches for these infections, in particular the use of antimicrobial agents effective against microbial biofilms, or antibacterial surfaces of medical devices. New antimicrobial agents, in particular bacteriophages, will also be tested.;Odbor výzkumu (OV)
36086;MUNI/A/1322/2016;1.1.2017;Growth monitoring in children with cystic fibrosis;MUDr. Lukáš Homola, Ph.D.;39890;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dět. infekčních nemocí;;150 000;Kč;Ne;The use of electromagnetic sensors in distal fixation of intramedullary nails in long bone fractures;Odbor výzkumu (OV)
36108;MUNI/A/1332/2016;1.1.2017;Personalized therapy in pediatric oncology: theranostics and other innovative approaches II;prof. MUDr. Jaroslav Štěrba, Ph.D.;348;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské onkologie;;899 141;Kč;Ne;The project proposal builds on the results of previous specific research projects for 2015 and 2016. The main aim of the current project is to study the changes of zonulae occludentes (ZO) tight junctions and their effect on blood-lymphatic barrier (HLB) permeability in the laboratory rat after pharmacologically induced peripheral neuropathy by administration of the chemotherapeutic drug Paclitaxel from the class of taxanes.  ;Odbor výzkumu (OV)
36097;MUNI/A/1339/2016;1.1.2017;MERGER: detecting links between curriculum mapping and virtual patient information systems;doc. Ing. Daniel Schwarz, Ph.D.;195581;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Inst.biostatistiky a analýz;;399 900;Kč;Ne;One of the side effects of taxanes is the development of peripheral neuropathy, which results from a disturbance in calcium homeostasis and mitochondrial damage in peripheral nerve axons. In experimental laboratory rat models, it has been found that Paclitaxel administration triggers an inflammatory response in the spinal ganglia, spinal cord and other structures of the central nervous system. Similar changes also occur in chronic nerve injury characterized by induction of satellite glial cell activation, invasion of activated macrophages, microglia proliferation and expression of pro-inflammatory cytokines and their receptors. The spread of the inflammatory reaction to the various stages of the central nervous system may be via the blood and/or the liquor. Our earlier experiments demonstrated the penetration of labeled dextran from blood and liquor into the spinal ganglion, demonstrating the permeability of the blood-nerve and liquor-nerve barriers to cytokine-sized molecules. We also found that peripheral nerve injury induces cellular changes and increased HLB permeability in the plexus choroideus (CP) of the cerebral ventricles.   ;Odbor výzkumu (OV)
36065;MUNI/A/1341/2016;1.1.2017;Evaluation of the results of physical parameters of organ systems, tissues in correlation with clinical status in surgical patients II.;doc. MUDr. Lenka Veverková, Ph.D.;1681;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. chirurgická klinika;;500 000;Kč;Ne;In a 2016 specific study, we demonstrated that there is increased expression of Toll-like receptor 9 (TLR9) in CP cuboidal cells;Odbor výzkumu (OV)
36106;MUNI/A/1349/2016;1.1.2017;"The use of fluorescence in improving surgical technique. Implementation of ""fluorescent-guided surgery"" into clinical practice and search for new applications of this technique in surgery.";MUDr. Vladimír Čan;214165;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Chirurgická klinika;;250 000;Kč;Ne;after Paclitaxel;Odbor výzkumu (OV)
36111;MUNI/A/1355/2016;1.1.2017;The cardiovascular system through the eyes of molecular physiology;prof. MUDr. Marie Nováková, Ph.D.;1188;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Fyziologický ústav;;1 399 116;Kč;Ne;administration. It is known that changes in TLR9 can affect the tightness of ZO-type junctions. We hypothesize that taxanes may act on ZO proteins in the HLB by signaling through TLR9, thereby affecting the permeability of the blood-lymphatic barrier to cytokine-sized molecules.  A;Odbor výzkumu (OV)
36088;MUNI/A/1356/2016;1.1.2017;Audit of pharmacoresistant epilepsies: selection of candidates and correct indication of epilepsy surgery and dietary therapy;doc. MUDr. Hana Ošlejšková, Ph.D.;26544;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské neurologie;;300 000;Kč;Ne;cumulative dose of 8 mg/kg paclitaxel;Odbor výzkumu (OV)
36069;MUNI/A/1363/2016;1.1.2017;Validation of the Rule-out/Rule-in protocol in patients with chest pain - a prospective study;MUDr. Petr Lokaj, Ph.D.;50652;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Interní kardiologická klinika;;1 196 489;Kč;Ne;will be achieved by intraperitoneal administration in four doses. At 3, 7 and 21 days after the last dose, the animals will be injected intravenously with labelled FluoroEmerald (FE) dextran, at which time cerebrospinal fluid will be collected from the animals after 30 minutes and 5 hours and the amount of FE will be analysed. After that time, the animals will be killed by CO2 inhalation. The ZO proteins occludin and ZO-1 will be detected immunohistochemically on coronal cryostat sections of the brain.;Odbor výzkumu (OV)
36093;MUNI/A/1369/2016;1.1.2017;Tissue engineering resources 7;doc. MVDr. Aleš Hampl, CSc.;47170;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav histologie a embryologie;;1 038 476;Kč;Ne;The intended outcome of the project is the use of non-contact thermography as an auxiliary tool in the detection of blood supply to individual organs of the abdominal cavity during surgery. There is currently a renaissance in the use of thermal imaging cameras in clinical practice. The essential reason is the increasing technical quality of the devices, but also the resolution and sensitivity of the resulting images - thermograms. Thermal imaging has already proven itself in the past as a suitable diagnostic tool for monitoring the quality and state of blood circulation in the lower limbs of patients. It is the degree of blood supply that plays a significant role in the surgeon's decision making in determining the correct colonic resection line and subsequent determination of the anastomosis site.  ;Odbor výzkumu (OV)
36094;MUNI/A/1401/2016;1.1.2017;Pathophysiological biomarkers in complex diseases;prof. MUDr. Anna Vašků, CSc.;122;31.12.2017;Příjemce-koordinátor;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav patologické fyziologie;;1 400 000;Kč;Ne;The main aim of the project is to use thermal imaging technology in practice as a useful tool in the hands of the surgeon during the actual surgical procedure. The thermal camera should determine the degree of blood supply to the colon and help to visualize individual angiosomes during the resection procedure. Patients will be thermographically examined in FB Brno during the surgical procedure. Subsequent evaluation of the images will then take place at the Biophysical Institute of the Faculty of Medicine. The specificity of the project is due to the direct cooperation between the clinical and theoretical workplace, where the surgeon determines the appropriate surgical procedure based on subjective evaluation, and the thermal imaging camera will provide an additional useful angle of view during the surgical procedure. The proposed project is based on the experience of previous studies carried out, where surface temperature proved to be a suitable indicator of tissue blood supply.;Odbor výzkumu (OV)
36085;MUNI/A/1405/2016;1.1.2017;Non-classical molecule HLA-F still enigmatic: study of its importance in the process of tumor immunoediting and possibilities of therapeutic manipulations of its expression - III.;doc. MUDr. Leoš Křen, Ph.D.;24010;31.12.2017;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav patologie;;300 000;Kč;Ne;In the available BTX-ECM600 cuvette electroporation system, single electroporation pulses of different length and intensity will be applied and their effect on cardiac tissue cells (differentiated from stem cells) will be monitored in comparison with negative controls. The results of the electroporation experiment will allow the improvement of animal protocols and bring closer the use of ECG-triggered electroporation of cardiac tissue in clinical practice.;Odbor výzkumu (OV)
